type,time,exchange,competitor,odds,agentID,decision,stake
Trade,6.135848045349121,0,2,5.147201418153715,2,backer,15
Trade,6.135848045349121,0,2,5.147201418153715,7,layer,15
Trade,7.766273021697998,0,2,7.147201418153715,2,backer,15
Trade,7.766273021697998,0,2,7.147201418153715,2,layer,15
Trade,7.910915851593018,0,2,6.147201418153715,7,backer,15
Trade,7.910915851593018,0,2,6.147201418153715,2,layer,15
Trade,8.506639957427979,0,2,6.147201418153715,7,backer,15
Trade,8.506639957427979,0,2,6.147201418153715,7,layer,15
Trade,8.649105072021484,0,2,6.147201418153715,7,backer,15
Trade,8.649105072021484,0,2,6.147201418153715,2,layer,15
Trade,9.240694046020508,0,2,7.147201418153715,54,backer,15
Trade,9.240694046020508,0,2,7.147201418153715,7,layer,15
Trade,9.259026050567627,0,2,9.147201418153715,54,backer,15
Trade,9.259026050567627,0,2,9.147201418153715,7,layer,15
Trade,9.276565074920654,0,2,7.147201418153715,54,backer,15
Trade,9.276565074920654,0,2,7.147201418153715,2,layer,15
Trade,9.613198041915894,0,2,5.605193357154245,54,backer,15
Trade,9.613198041915894,0,2,5.605193357154245,7,layer,15
Trade,9.825740814208984,0,2,9.147201418153715,7,backer,15
Trade,9.825740814208984,0,2,9.147201418153715,7,layer,15
Trade,9.903838157653809,0,2,8.147201418153715,7,backer,15
Trade,9.903838157653809,0,2,8.147201418153715,2,layer,15
Trade,10.326840877532959,0,2,4.472496320245395,2,backer,15
Trade,10.326840877532959,0,2,4.472496320245395,54,layer,15
Trade,10.401523113250732,0,2,1.1,2,backer,15
Trade,10.401523113250732,0,2,1.1,52,layer,15
Trade,11.164515972137451,0,2,1.1,7,backer,15
Trade,11.164515972137451,0,2,1.1,53,layer,15
Trade,0.08444499969482422,0,3,1.1,50,backer,15
Trade,0.08444499969482422,0,3,1.1,51,layer,15
Trade,0.09767794609069824,0,3,1.1,33,backer,15
Trade,0.09767794609069824,0,3,1.1,51,layer,15
Trade,0.12771010398864746,0,3,1.1,32,backer,15
Trade,0.12771010398864746,0,3,1.1,51,layer,15
Trade,0.15158796310424805,0,3,1.1,38,backer,15
Trade,0.15158796310424805,0,3,1.1,51,layer,15
Trade,0.1693100929260254,0,3,1.1,39,backer,15
Trade,0.1693100929260254,0,3,1.1,51,layer,15
Trade,0.18619298934936523,0,3,1.1,31,backer,15
Trade,0.18619298934936523,0,3,1.1,51,layer,15
Trade,0.20340991020202637,0,3,1.1,30,backer,15
Trade,0.20340991020202637,0,3,1.1,51,layer,15
Trade,0.22292494773864746,0,3,1.1,37,backer,15
Trade,0.22292494773864746,0,3,1.1,51,layer,15
Trade,0.2540581226348877,0,3,1.1,35,backer,15
Trade,0.2540581226348877,0,3,1.1,51,layer,15
Trade,0.27345705032348633,0,3,1.1,34,backer,15
Trade,0.27345705032348633,0,3,1.1,51,layer,15
Trade,0.30840206146240234,0,3,1.1,36,backer,15
Trade,0.30840206146240234,0,3,1.1,51,layer,15
Trade,0.34279894828796387,0,3,1.1,6,backer,15
Trade,0.34279894828796387,0,3,1.1,51,layer,15
Trade,0.39208507537841797,0,3,1.5666666666666667,53,backer,15
Trade,0.39208507537841797,0,3,1.5666666666666667,6,layer,15
Trade,0.47873806953430176,0,3,1.1,6,backer,15
Trade,0.47873806953430176,0,3,1.1,51,layer,15
Trade,0.5342810153961182,0,3,2.4,52,backer,15
Trade,0.5342810153961182,0,3,2.4,8,layer,15
Trade,1.2867720127105713,0,3,3.6463748181551656,53,backer,15
Trade,1.2867720127105713,0,3,3.6463748181551656,8,layer,15
Trade,1.3541841506958008,0,3,1.1,8,backer,15
Trade,1.3541841506958008,0,3,1.1,51,layer,15
Trade,1.4438419342041016,0,3,3.6463748181551656,53,backer,15
Trade,1.4438419342041016,0,3,3.6463748181551656,8,layer,15
Trade,1.6169612407684326,0,3,1.6463748181551656,8,backer,15
Trade,1.6169612407684326,0,3,1.6463748181551656,6,layer,15
Trade,1.7469890117645264,0,3,1.6463748181551656,6,backer,15
Trade,1.7469890117645264,0,3,1.6463748181551656,8,layer,15
Trade,1.7758989334106445,0,3,3.6463748181551656,53,backer,15
Trade,1.7758989334106445,0,3,3.6463748181551656,8,layer,15
Trade,1.7950379848480225,0,3,4.300090381576819,53,backer,15
Trade,1.7950379848480225,0,3,4.300090381576819,8,layer,15
Trade,1.8171370029449463,0,3,4.491591583791248,53,backer,15
Trade,1.8171370029449463,0,3,4.491591583791248,6,layer,15
Trade,1.818108081817627,0,3,5.491591583791248,52,backer,15
Trade,1.818108081817627,0,3,5.491591583791248,6,layer,15
Trade,2.233492136001587,0,3,1.1,8,backer,15
Trade,2.233492136001587,0,3,1.1,51,layer,15
Trade,2.3217530250549316,0,3,1.1,6,backer,15
Trade,2.3217530250549316,0,3,1.1,52,layer,15
Trade,2.629019021987915,0,3,1.1,8,backer,15
